# Guild no-touch roster — accounts kami-zero MUST NOT liquidate.
# Source: founder copy/paste from Guild website (kamibots API has no roster
#         endpoint as of 2026-05-01; flagged to Coopes).
# Updated: 2026-05-01 (founder)
# Refresh: every 7 days; if updated_at older than that, treat as deny-all.
#
# account_id is blank on initial paste — kami-zero resolves handles to on-chain
# account/operator IDs in session 71 (sub-priority under P3) and writes the
# resolved IDs back so the no-liquidate gate can match by ID. Until an entry
# has a non-empty account_id it should still match by handle as a fallback.
#
# note column: "FOUNDER_OWN" marks accounts the founder owns (sanity-check
# entries — should never be a target anyway). Other entries are guild allies.
account_id,handle,note
1206841429676467162869130713471053745001688671011,𝄠𝄻𝄇,
,0xAsimov,
641359344561947698926841607545926082290507093003,0xasimov,
473580062279952542807014167412970988441991534051,0xRobster,
817274886697737463213407077050699272298540377644,23savage,
305149233946966111022800083013571662733914815269,3chih21,
131962296420364589787269774938789959160797138882,alexbuyer,
,apeon,
,banger,
89173844946672971619770989255122657952012070818,bb,
1220814665433219461851026590343192225239801527843,BBoy,
348165122123422925308123126711270227130460587464,BHusband,
,BigDawg,
1035887153580953898717850104419936983599636105893,BirthdayBoi,
1419189581055575994499942985530739749049983805895,BirthdayBoy,
,blackmilk,
,blondie,
,Boo!,
766652271399468889391879684419720168355448418214,bpeon,FOUNDER_OWN (kami-zero)
672875282342686425286243555000569933285256082608,buzz,FOUNDER_OWN (kami-agent)
,Canzi,
957571661958334956812342265635935296772395813843,caw-caw,
,coopes,
927984336672495325040925719820758477632651249811,cpeon,
154824516756945784494916004889815810681990823953,cypherbadger,
,dest1ny,
1434376423004355269436877216835172242150550437211,dmi,
,dr.craft,
,Drunkenfist,
,endlesschase,
,epcros,
212201206842988526396863440477987301996060975384,epcros-eerie,
119048059629893455470560621852750053008412539608,epcros-insect,
419319494157482897271165303187122861209485410569,epcros-scrap,
1169716397895965116292458869503980696151366049219,erere,
891997568383033041580672510509483568853299582461,fey-fey,
,goo,
1055399688841131641712125657031041201571281771771,Gunnar,
,h80h,
1277989754772593025907559742511398694622258024550,Heyoooo,
,humblehenry,
1082163083918720035976371347443206561822347588582,Ironwrench,
,Jack,
1331160644200919472561566689262614158198103859174,jfv123,
1086287722117559832109068907230877777890077468703,jghvkjhv8,
,jr.craft,
,juan,
451845868162791876895392418383787642183980818723,jun,
902291346049269743741340957122467470862893167870,KCI,
927563190479084090198849893890754865780161696522,KCS,
1110743518726721259835726667456090437478660441122,Killchain,
,killerbee,
,lookinrare,
,lundgren,
,mango!,
,meme,
,Milady,
,mr.craft,
1293448139689847808021436583376271514720198980532,OxSwaft,
908451453997773775231171279843465410631119898635,pleaseonemoretim,
,saintlaurent,
,Salazar,
,Santino,
1344426385856619303118286038643614378502528005006,scrrr,
737432352310280007136952936045867759073475093089,Shadow3X,
,Shell,
,Spinneum,
,sr.craft,
,surprise,
,sweazy,
926002188830857058729533926898718232678146579804,T0nin,
1287500823295543234000401183868058073402598589849,TGC-Angry,
1145077655827762376877322544104228500158463322324,TGC-Cirar,
1350962915985523477635646988645807778289799483063,thebasement,
993923192272797215528255474154497941981763706349,tokedo,FOUNDER_OWN (founder primary)
574425357975208341992511929130440898853507213694,Ton1n,
914892247613806265571577728116306547132873376562,Tonin,
527894690848725947120966821267619886159571862974,topobadger,
,Vanir,
543512993762086442993581938826384808925615786419,wassa,
,wassieairforces,
,Whispo,
# Resolved 44/82 IDs in session 73 (2026-05-01) via oracle kami_static
